current, inductance
77.07,	-18.13
77.34,	-18.29
77.61,	-18.45
77.88,	-18.61
78.16,	-18.76
78.43,	-18.92
78.70,	-19.08
78.97,	-19.24
79.25,	-19.40
79.52,	-19.56
79.79,	-19.72
80.06,	-19.88
80.34,	-20.04
80.61,	-20.20
80.88,	-20.36
81.16,	-20.52
81.43,	-20.68
81.70,	-20.84
81.97,	-21.00
82.25,	-21.17
82.52,	-21.33
82.79,	-21.49
83.06,	-21.65
83.34,	-21.81
83.61,	-21.97
83.88,	-22.14
84.15,	-22.30
84.43,	-22.46
84.70,	-22.62
84.97,	-22.79
85.24,	-22.95
85.52,	-23.11
85.79,	-23.28
86.06,	-23.44
86.34,	-23.61
86.61,	-23.77
86.88,	-23.93
87.15,	-24.10
87.43,	-24.26
87.70,	-24.43
87.97,	-24.59
88.24,	-24.76
88.52,	-24.92
88.79,	-25.09
89.06,	-25.25
89.33,	-25.42
89.61,	-25.58
89.88,	-25.75
90.15,	-25.91
90.42,	-26.08
90.70,	-26.25
90.97,	-26.41
91.24,	-26.58
91.52,	-26.75
91.79,	-26.91
92.06,	-27.08
92.33,	-27.25
92.61,	-27.41
92.88,	-27.58
93.15,	-27.75
93.42,	-27.92
93.70,	-28.08
93.97,	-28.25
94.24,	-28.42
94.51,	-28.59
94.79,	-28.76
95.06,	-28.92
95.33,	-29.09
95.60,	-29.26
95.88,	-29.43
96.15,	-29.60
96.42,	-29.77
96.70,	-29.94
96.97,	-30.11
97.24,	-30.28
97.51,	-30.45
97.79,	-30.62
98.06,	-30.79
98.33,	-30.96
98.60,	-31.13
98.88,	-31.30
99.15,	-31.47
99.42,	-31.64
99.69,	-31.81
99.97,	-31.98
100.24,	-32.15
100.51,	-32.32
100.78,	-32.49
101.06,	-32.66
101.33,	-32.83
101.60,	-33.01
101.88,	-33.18
102.15,	-33.35
102.42,	-33.52
102.69,	-33.69
102.97,	-33.87
103.24,	-34.04
103.51,	-34.21
103.78,	-34.38
104.06,	-34.56
104.33,	-34.73
104.60,	-34.90
104.87,	-35.07
105.15,	-35.25
105.42,	-35.42
105.69,	-35.59
105.96,	-35.77
106.24,	-35.94
106.51,	-36.11
106.78,	-36.29
107.06,	-36.46
107.33,	-36.64
107.60,	-36.81
107.87,	-36.98
108.15,	-37.16
108.42,	-37.33
108.69,	-37.51
108.96,	-37.68
109.24,	-37.86
109.51,	-38.03
109.78,	-38.21
110.05,	-38.38
110.33,	-38.56
110.60,	-38.73
110.87,	-38.91
111.15,	-39.08
111.42,	-39.26
111.69,	-39.43
111.96,	-39.61
112.24,	-39.79
112.51,	-39.96
112.78,	-40.14
113.05,	-40.31
113.33,	-40.49
113.60,	-40.67
113.87,	-40.84
114.14,	-41.02
114.42,	-41.20
114.69,	-41.37
114.96,	-41.55
115.23,	-41.73
115.51,	-41.91
115.78,	-42.08
116.05,	-42.26
116.33,	-42.44
116.60,	-42.61
116.87,	-42.79
117.14,	-42.97
117.42,	-43.15
117.69,	-43.33
117.96,	-43.50
118.23,	-43.68
118.51,	-43.86
118.78,	-44.04
