posx,t_0_0_com,t_0_0_ans,t_0_03_com,t_0_03_ans,t_0_06_com,t_0_06_ans,t_0_1_com,t_0_1_ans
0.71,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.92,	1.92
0.72,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.92,	1.92
0.73,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.92,	1.91
0.74,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.91
0.75,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.91
0.76,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.91
0.77,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.91
0.78,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.91
0.79,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.91
0.80,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.91
0.81,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.91,	1.90
0.82,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.83,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.84,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.85,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.86,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.87,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.88,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.89,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.91,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.92,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.93,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.94,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.95,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.96,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.97,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.98,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
0.99,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
1.00,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90,	1.90
