time, 50_nodes, 100_nodes, 1000_nodes
0.01, -1.34,  -1.69,  -1.82
0.02, -1.14,  -1.43,  -1.54
0.03, -0.99,  -1.16,  -1.24
0.04, -0.85,  -0.96,  -1.02
0.05, -0.75,  -0.81,  -0.86
0.06, -0.67,  -0.70,  -0.74
0.07, -0.60,  -0.62,  -0.65
0.08, -0.55,  -0.55,  -0.58
0.09, -0.50,  -0.50,  -0.53
0.10, -0.47,  -0.46,  -0.48
