time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.1850,	-0.0450,	86.0000,	6.4279E-04, 	5.5280E-02, 	14.395
0.1875,	-0.0425,	86.0000,	6.5032E-04, 	5.5928E-02, 	14.406
0.1900,	-0.0400,	86.0000,	6.5770E-04, 	5.6562E-02, 	14.417
0.1925,	-0.0375,	86.0000,	6.7257E-04, 	5.7841E-02, 	14.428
0.1950,	-0.0350,	86.0000,	6.7262E-04, 	5.7845E-02, 	14.439
0.1975,	-0.0325,	86.0000,	6.8748E-04, 	5.9124E-02, 	14.449
0.2000,	-0.0300,	86.0000,	6.8754E-04, 	5.9128E-02, 	14.460
0.2025,	-0.0275,	86.0000,	7.0240E-04, 	6.0407E-02, 	14.470
0.2050,	-0.0250,	86.0000,	7.0246E-04, 	6.0411E-02, 	14.480
0.2075,	-0.0225,	86.0000,	7.1732E-04, 	6.1690E-02, 	14.490
0.2100,	-0.0200,	86.0000,	7.1738E-04, 	6.1694E-02, 	14.500
0.2125,	-0.0175,	86.0000,	7.3297E-04, 	6.3035E-02, 	14.510
0.2150,	-0.0150,	86.0000,	7.3303E-04, 	6.3040E-02, 	14.520
0.2175,	-0.0125,	86.0000,	7.4862E-04, 	6.4382E-02, 	14.529
0.2200,	-0.0100,	86.0000,	7.5585E-04, 	6.5003E-02, 	14.539
0.2225,	-0.0075,	86.0000,	7.6379E-04, 	6.5686E-02, 	14.548
0.2250,	-0.0050,	86.0000,	7.7101E-04, 	6.6307E-02, 	14.557
0.2275,	-0.0025,	86.0000,	7.7895E-04, 	6.6990E-02, 	14.567
0.2300,	0.00000,	86.0000,	7.8618E-04, 	6.7611E-02, 	14.576
0.2325,	0.00250,	86.0000,	7.9311E-04, 	6.8208E-02, 	14.584
0.2350,	0.00500,	86.0000,	8.0034E-04, 	6.8829E-02, 	14.593
0.2375,	0.00750,	86.0000,	8.1445E-04, 	7.0042E-02, 	14.602
0.2400,	0.01000,	86.0000,	8.2138E-04, 	7.0639E-02, 	14.611
0.2425,	0.01250,	86.0000,	8.2862E-04, 	7.1261E-02, 	14.619
0.2450,	0.01500,	86.0000,	8.3555E-04, 	7.1857E-02, 	14.627
0.2475,	0.01750,	86.0000,	8.4383E-04, 	7.2569E-02, 	14.636
0.2500,	0.02000,	86.0000,	8.5076E-04, 	7.3165E-02, 	14.644
0.2525,	0.02250,	86.0000,	8.5904E-04, 	7.3877E-02, 	14.652
0.2550,	0.02500,	86.0000,	8.6597E-04, 	7.4474E-02, 	14.660
0.2575,	0.02750,	86.0000,	8.7370E-04, 	7.5138E-02, 	14.668
0.2600,	0.03000,	86.0000,	8.8164E-04, 	7.5821E-02, 	14.676
0.2625,	0.03250,	86.0000,	8.8936E-04, 	7.6485E-02, 	14.684
0.2650,	0.03500,	86.0000,	8.9730E-04, 	7.7168E-02, 	14.692
0.2675,	0.03750,	86.0000,	9.0503E-04, 	7.7832E-02, 	14.700
0.2700,	0.04000,	86.0000,	9.2011E-04, 	7.9129E-02, 	14.707
0.2725,	0.04250,	86.0000,	9.2752E-04, 	7.9767E-02, 	14.715
0.2750,	0.04500,	86.0000,	9.3526E-04, 	8.0432E-02, 	14.722
0.2775,	0.04750,	86.0000,	9.4268E-04, 	8.1070E-02, 	14.730
0.2800,	0.05000,	86.0000,	9.5041E-04, 	8.1735E-02, 	14.737
0.2825,	0.05250,	86.0000,	9.5783E-04, 	8.2374E-02, 	14.744
0.2850,	0.05500,	86.0000,	9.6557E-04, 	8.3039E-02, 	14.752
0.2875,	0.05750,	86.0000,	9.7299E-04, 	8.3678E-02, 	14.759
0.2900,	0.06000,	86.0000,	9.8074E-04, 	8.4343E-02, 	14.766
0.2925,	0.06250,	86.0000,	9.8816E-04, 	8.4982E-02, 	14.773
0.2950,	0.06500,	86.0000,	9.9590E-04, 	8.5648E-02, 	14.780
0.2975,	0.06750,	86.0000,	1.0033E-03, 	8.6286E-02, 	14.787
0.3000,	0.07000,	86.0000,	1.0111E-03, 	8.6952E-02, 	14.794
0.3025,	0.07250,	86.0000,	1.0262E-03, 	8.8251E-02, 	14.802
0.3050,	0.07500,	86.0000,	1.0263E-03, 	8.8258E-02, 	14.810
0.3075,	0.07750,	86.0000,	1.0414E-03, 	8.9557E-02, 	14.818
0.3100,	0.08000,	86.0000,	1.0414E-03, 	8.9563E-02, 	14.829
0.3125,	0.08250,	86.0000,	1.0566E-03, 	9.0865E-02, 	14.843
0.3150,	0.08500,	86.0000,	1.0640E-03, 	9.1506E-02, 	14.878
0.3175,	0.08750,	86.0000,	1.0718E-03, 	9.2175E-02, 	14.921
0.3200,	0.09000,	86.0000,	1.0793E-03, 	9.2817E-02, 	14.974
0.3225,	0.09250,	86.0000,	1.1099E-03, 	9.5453E-02, 	15.035
0.3250,	0.09500,	86.0000,	1.1327E-03, 	9.7408E-02, 	15.103
0.3275,	0.09750,	86.0000,	1.1778E-03, 	1.0129E-01, 	15.181
0.3300,	0.10000,	86.0000,	1.2748E-03, 	1.0963E-01, 	15.272
0.3325,	0.10250,	86.0000,	1.3114E-03, 	1.1278E-01, 	15.367
0.3350,	0.10500,	86.0000,	1.3713E-03, 	1.1793E-01, 	15.463
0.3375,	0.10750,	86.0000,	1.3863E-03, 	1.1923E-01, 	15.559
0.3400,	0.11000,	86.0000,	1.4463E-03, 	1.2438E-01, 	15.653
0.3425,	0.11250,	86.0000,	1.4843E-03, 	1.2765E-01, 	15.744
0.3450,	0.11500,	86.0000,	1.5597E-03, 	1.3413E-01, 	15.833
0.3475,	0.11750,	86.0000,	1.6136E-03, 	1.3877E-01, 	15.920
0.3500,	0.12000,	86.0000,	1.7112E-03, 	1.4717E-01, 	16.004
0.3525,	0.12250,	86.0000,	1.7961E-03, 	1.5446E-01, 	16.085
0.3550,	0.12500,	86.0000,	1.9323E-03, 	1.6618E-01, 	16.163
0.3575,	0.12750,	86.0000,	2.0374E-03, 	1.7522E-01, 	16.239
0.3600,	0.13000,	86.0000,	2.1857E-03, 	1.8797E-01, 	16.312
0.3625,	0.13250,	86.0000,	2.3441E-03, 	2.0160E-01, 	16.383
0.3650,	0.13500,	86.0000,	2.4778E-03, 	2.1309E-01, 	16.451
0.3675,	0.13750,	86.0000,	2.6527E-03, 	2.2813E-01, 	16.518
0.3700,	0.14000,	86.0000,	2.8226E-03, 	2.4275E-01, 	16.582
0.3725,	0.14250,	86.0000,	3.0040E-03, 	2.5835E-01, 	16.644
0.3750,	0.14500,	86.0000,	3.2219E-03, 	2.7708E-01, 	16.704
0.3775,	0.14750,	86.0000,	3.4365E-03, 	2.9554E-01, 	16.763
0.3800,	0.15000,	86.0000,	3.7274E-03, 	3.2055E-01, 	16.819
