METERS,	T_init,	case1,	case2,	case3
384.20,   	4.300,	35.894, 	32.149, 	29.033
384.95,   	4.300,	34.575, 	31.192, 	28.501
385.69,   	4.300,	35.247, 	31.500, 	28.242
386.44,   	4.300,	35.528, 	31.627, 	28.312
387.18,   	4.300,	34.020, 	30.595, 	27.854
387.92,   	4.300,	34.308, 	30.719, 	27.661
388.67,   	4.300,	35.194, 	31.213, 	27.793
389.41,   	4.300,	33.905, 	30.379, 	27.511
390.16,   	4.300,	33.746, 	30.277, 	27.389
390.90,   	4.300,	34.835, 	30.931, 	27.539
391.65,   	4.300,	34.086, 	30.448, 	27.435
392.39,   	4.300,	33.552, 	30.163, 	27.403
393.14,   	4.300,	34.815, 	31.012, 	27.699
393.89,   	4.300,	34.677, 	30.896, 	27.712
394.64,   	4.300,	33.859, 	30.484, 	27.785
395.38,   	4.300,	35.026, 	31.347, 	28.163
396.13,   	4.300,	35.533, 	31.621, 	28.278
396.88,   	4.300,	34.583, 	31.170, 	28.463
397.63,   	4.300,	35.466, 	31.915, 	28.907
398.38,   	4.300,	36.950, 	32.951, 	29.469
399.12,   	4.300,	35.680, 	32.184, 	29.389
399.87,   	4.300,	36.113, 	32.680, 	29.888
400.62,   	4.300,	38.059, 	34.083, 	30.556
401.37,   	4.300,	37.098, 	33.471, 	30.496
402.12,   	4.300,	36.964, 	33.633, 	31.057
402.86,   	4.300,	39.167, 	35.275, 	31.787
403.62,   	4.300,	38.749, 	34.940, 	31.701
404.36,   	4.300,	38.026, 	34.768, 	32.344
405.11,   	4.300,	40.155, 	36.403, 	33.081
405.85,   	4.300,	40.433, 	36.454, 	32.966
406.60,   	4.300,	39.327, 	36.095, 	33.665
407.35,   	4.300,	40.927, 	37.357, 	34.337
408.10,   	4.300,	42.675, 	38.551, 	34.803
408.85,   	4.300,	40.874, 	37.583, 	34.921
409.59,   	4.300,	41.490, 	38.127, 	35.492
410.34,   	4.300,	44.003, 	39.889, 	36.048
411.09,   	4.300,	42.569, 	39.085, 	36.007
411.84,   	4.300,	42.035, 	38.877, 	36.563
412.59,   	4.300,	44.806, 	40.809, 	37.060
413.34,   	4.300,	44.131, 	40.327, 	36.806
414.08,   	4.300,	42.657, 	39.663, 	37.412
414.83,   	4.300,	45.003, 	41.200, 	37.747
415.58,   	4.300,	45.529, 	41.408, 	37.557
416.33,   	4.300,	43.523, 	40.586, 	38.066
417.08,   	4.300,	44.692, 	41.151, 	38.172
417.82,   	4.300,	46.537, 	42.281, 	38.243
418.57,   	4.300,	44.571, 	41.491, 	38.484
419.31,   	4.300,	44.310, 	41.032, 	38.471
420.07,   	4.300,	46.799, 	42.613, 	38.594
420.81,   	4.300,	45.541, 	42.090, 	38.595
421.56,   	4.300,	43.989, 	40.980, 	38.669
422.31,   	4.300,	46.088, 	42.104, 	38.343
423.06,   	4.300,	45.810, 	41.928, 	38.140
423.81,   	4.300,	43.597, 	40.744, 	38.377
424.56,   	4.300,	45.269, 	41.541, 	38.204
425.32,   	4.300,	45.975, 	41.796, 	37.852
426.07,   	4.300,	43.782, 	40.863, 	38.187
426.82,   	4.300,	44.108, 	40.688, 	37.892
427.57,   	4.300,	45.768, 	41.574, 	37.602
428.32,   	4.300,	44.033, 	40.823, 	37.755
429.08,   	4.300,	42.999, 	39.835, 	37.457
429.83,   	4.300,	44.992, 	40.946, 	37.126
430.58,   	4.300,	44.085, 	40.434, 	37.004
431.33,   	4.300,	41.996, 	38.968, 	36.750
432.08,   	4.300,	43.640, 	39.824, 	36.344
432.83,   	4.300,	43.654, 	39.676, 	36.036
433.59,   	4.300,	41.216, 	38.151, 	35.815
434.34,   	4.300,	41.906, 	38.343, 	35.312
435.09,   	4.300,	42.401, 	38.309, 	34.590
435.84,   	4.300,	40.606, 	37.335, 	34.696
436.59,   	4.300,	40.077, 	36.730, 	34.105
437.35,   	4.300,	41.169, 	37.157, 	33.498
438.10,   	4.300,	40.011, 	36.445, 	33.446
438.85,   	4.300,	38.494, 	35.251, 	32.832
439.60,   	4.300,	39.534, 	35.700, 	32.264
440.36,   	4.300,	39.316, 	35.475, 	32.167
441.11,   	4.300,	37.270, 	34.002, 	31.550
441.86,   	4.300,	37.745, 	34.118, 	30.990
442.61,   	4.300,	38.162, 	34.177, 	30.702
443.36,   	4.300,	36.398, 	33.004, 	30.353
444.12,   	4.300,	36.084, 	32.635, 	29.796
444.87,   	4.300,	36.802, 	32.856, 	29.390
445.62,   	4.300,	35.802, 	32.227, 	29.314
446.37,   	4.300,	34.837, 	31.475, 	28.783
447.12,   	4.300,	35.647, 	31.832, 	28.489
447.87,   	4.300,	35.392, 	31.642, 	28.489
448.63,   	4.300,	34.026, 	30.675, 	28.012
449.38,   	4.300,	34.610, 	30.957, 	27.801
450.13,   	4.300,	35.136, 	31.250, 	27.923
450.88,   	4.300,	33.683, 	30.269, 	27.526
451.63,   	4.300,	33.859, 	30.352, 	27.386
452.39,   	4.300,	34.855, 	30.931, 	27.536
453.14,   	4.300,	33.754, 	30.229, 	27.345
453.89,   	4.300,	33.401, 	30.012, 	27.220
454.65,   	4.300,	34.644, 	30.808, 	27.461
455.40,   	4.300,	34.076, 	30.437, 	27.404
456.16,   	4.300,	33.456, 	30.118, 	27.429
456.91,   	4.300,	34.740, 	31.009, 	27.758
457.67,   	4.300,	34.815, 	31.029, 	27.814
458.43,   	4.300,	33.933, 	30.589, 	27.939
459.18,   	4.300,	35.052, 	31.446, 	28.342
459.93,   	4.300,	35.742, 	31.848, 	28.494
460.69,   	4.300,	34.782, 	31.390, 	28.710
461.45,   	4.300,	35.567, 	32.089, 	29.179
462.21,   	4.300,	37.193, 	33.239, 	29.765
462.96,   	4.300,	35.975, 	32.490, 	29.693
463.72,   	4.300,	36.257, 	32.897, 	30.217
464.47,   	4.300,	38.265, 	34.350, 	30.856
465.23,   	4.300,	37.448, 	33.824, 	30.819
465.99,   	4.300,	37.114, 	33.856, 	31.391
466.74,   	4.300,	39.294, 	35.482, 	32.069
467.50,   	4.300,	39.097, 	35.282, 	31.995
468.25,   	4.300,	38.179, 	34.984, 	32.626
469.01,   	4.300,	40.164, 	36.508, 	33.309
469.77,   	4.300,	41.012, 	37.018, 	33.456
470.52,   	4.300,	39.483, 	36.291, 	33.852
471.28,   	4.300,	40.764, 	37.318, 	34.484
472.03,   	4.300,	42.728, 	38.647, 	34.897
472.79,   	4.300,	41.018, 	37.733, 	34.990
473.54,   	4.300,	41.277, 	38.027, 	35.543
474.30,   	4.300,	43.784, 	39.747, 	35.969
475.05,   	4.300,	42.644, 	39.128, 	35.943
475.81,   	4.300,	41.714, 	38.665, 	36.438
476.57,   	4.300,	44.318, 	40.424, 	36.806
477.32,   	4.300,	44.040, 	40.191, 	36.591
478.08,   	4.300,	42.336, 	39.413, 	37.132
478.83,   	4.300,	44.330, 	40.652, 	37.381
479.59,   	4.300,	45.370, 	41.228, 	37.330
480.35,   	4.300,	43.213, 	40.280, 	37.651
481.10,   	4.300,	43.918, 	40.521, 	37.735
481.86,   	4.300,	45.942, 	41.745, 	37.753
482.61,   	4.300,	44.220, 	41.077, 	37.953
483.37,   	4.300,	43.503, 	40.378, 	37.979
484.13,   	4.300,	45.951, 	41.860, 	37.958
484.89,   	4.300,	45.119, 	41.541, 	37.955
485.64,   	4.300,	42.819, 	39.914, 	37.649
486.40,   	4.300,	44.979, 	41.122, 	37.544
487.16,   	4.300,	45.099, 	41.159, 	37.361
487.92,   	4.300,	42.806, 	39.960, 	37.541
488.68,   	4.300,	44.087, 	40.504, 	37.379
489.44,   	4.300,	45.048, 	40.902, 	36.996
490.20,   	4.300,	42.998, 	40.013, 	37.262
490.96,   	4.300,	42.908, 	39.625, 	37.013
491.72,   	4.300,	44.602, 	40.505, 	36.638
492.48,   	4.300,	43.186, 	39.875, 	36.750
493.24,   	4.300,	41.798, 	38.732, 	36.462
494.00,   	4.300,	43.632, 	39.712, 	36.060
494.76,   	4.300,	43.105, 	39.386, 	35.935
495.52,   	4.300,	40.879, 	37.877, 	35.661
496.28,   	4.300,	42.197, 	38.517, 	35.239
497.04,   	4.300,	42.359, 	38.371, 	34.745
497.80,   	4.300,	40.193, 	37.089, 	34.689
498.56,   	4.300,	40.450, 	37.028, 	34.212
499.32,   	4.300,	41.207, 	37.187, 	33.532
500.08,   	4.300,	39.643, 	36.307, 	33.584
500.83,   	4.300,	38.824, 	35.556, 	33.041
501.60,   	4.300,	39.881, 	35.974, 	32.437
502.36,   	4.300,	39.082, 	35.466, 	32.404
503.12,   	4.300,	37.407, 	34.198, 	31.809
503.88,   	4.300,	38.269, 	34.549, 	31.263
504.64,   	4.300,	38.408, 	34.557, 	31.222
505.40,   	4.300,	36.379, 	33.106, 	30.619
506.15,   	4.300,	36.622, 	33.094, 	30.103
506.92,   	4.300,	37.044, 	33.116, 	29.677
507.68,   	4.300,	35.680, 	32.262, 	29.551
508.44,   	4.300,	35.173, 	31.795, 	29.050
509.20,   	4.300,	35.972, 	32.107, 	28.709
509.96,   	4.300,	35.224, 	31.630, 	28.663
510.72,   	4.300,	34.133, 	30.820, 	28.188
511.48,   	4.300,	34.924, 	31.200, 	27.948
512.24,   	4.300,	34.964, 	31.199, 	28.000
513.00,   	4.300,	33.563, 	30.229, 	27.579
513.76,   	4.300,	34.052, 	30.483, 	27.420
514.51,   	4.300,	34.772, 	30.906, 	27.575
515.28,   	4.300,	33.420, 	30.007, 	27.254
516.03,   	4.300,	33.486, 	30.049, 	27.168
516.80,   	4.300,	34.495, 	30.643, 	27.288
517.56,   	4.300,	33.554, 	30.043, 	27.155
518.32,   	4.300,	33.211, 	29.872, 	27.151
519.09,   	4.300,	34.498, 	30.722, 	27.422
519.85,   	4.300,	34.108, 	30.466, 	27.410
520.62,   	4.300,	33.425, 	30.121, 	27.491
521.38,   	4.300,	34.692, 	31.027, 	27.840
522.14,   	4.300,	34.951, 	31.164, 	27.926
522.91,   	4.300,	34.032, 	30.710, 	28.099
523.67,   	4.300,	35.081, 	31.541, 	28.520
524.44,   	4.300,	36.142, 	32.245, 	28.857
525.20,   	4.300,	34.977, 	31.599, 	28.931
525.97,   	4.300,	35.604, 	32.206, 	29.418
526.73,   	4.300,	37.349, 	33.438, 	29.976
527.49,   	4.300,	36.231, 	32.752, 	29.938
528.25,   	4.300,	36.337, 	33.047, 	30.472
529.02,   	4.300,	38.357, 	34.504, 	31.055
529.78,   	4.300,	37.716, 	34.091, 	31.043
530.55,   	4.300,	37.172, 	33.978, 	31.600
531.31,   	4.300,	39.271, 	35.540, 	32.216
532.07,   	4.300,	39.304, 	35.486, 	32.147
532.84,   	4.300,	38.221, 	35.074, 	32.741
533.60,   	4.300,	40.000, 	36.443, 	33.373
534.37,   	4.300,	41.303, 	37.311, 	33.696
535.13,   	4.300,	39.507, 	36.338, 	33.846
535.89,   	4.300,	40.451, 	37.116, 	34.429
536.66,   	4.300,	42.510, 	38.483, 	34.752
537.42,   	4.300,	40.994, 	37.696, 	34.846
538.19,   	4.300,	40.815, 	37.689, 	35.348
538.95,   	4.300,	43.293, 	39.341, 	35.648
539.72,   	4.300,	42.544, 	38.953, 	35.625
540.48,   	4.300,	41.234, 	38.268, 	36.061
541.24,   	4.300,	43.594, 	39.810, 	36.335
542.00,   	4.300,	43.707, 	39.818, 	36.158
542.77,   	4.300,	41.867, 	38.975, 	36.613
543.53,   	4.300,	43.472, 	39.919, 	36.823
544.30,   	4.300,	44.773, 	40.648, 	36.750
545.06,   	4.300,	42.736, 	39.772, 	37.014
545.82,   	4.300,	43.001, 	39.732, 	37.102
546.59,   	4.300,	45.073, 	40.949, 	37.028
547.35,   	4.300,	43.677, 	40.449, 	37.219
548.12,   	4.300,	42.562, 	39.549, 	37.238
548.88,   	4.300,	44.376, 	40.416, 	36.686
549.65,   	4.300,	43.943, 	40.300, 	36.697
550.42,   	4.300,	41.905, 	39.043, 	36.757
551.18,   	4.300,	43.745, 	40.023, 	36.632
551.96,   	4.300,	44.163, 	40.168, 	36.367
552.72,   	4.300,	41.935, 	39.059, 	36.565
553.49,   	4.300,	42.707, 	39.298, 	36.422
554.26,   	4.300,	43.921, 	39.838, 	35.992
555.02,   	4.300,	42.114, 	39.044, 	36.213
555.79,   	4.300,	41.648, 	38.476, 	35.999
556.56,   	4.300,	43.285, 	39.295, 	35.551
557.32,   	4.300,	42.222, 	38.818, 	35.640
558.10,   	4.300,	40.573, 	37.566, 	35.341
558.86,   	4.300,	42.192, 	38.400, 	34.922
559.63,   	4.300,	42.030, 	38.262, 	34.797
560.40,   	4.300,	39.769, 	36.758, 	34.500
561.16,   	4.300,	40.747, 	37.193, 	34.100
561.94,   	4.300,	40.988, 	37.033, 	33.447
562.70,   	4.300,	39.180, 	36.022, 	33.536
563.47,   	4.300,	39.091, 	35.767, 	33.093
564.24,   	4.300,	39.968, 	36.027, 	32.451
565.00,   	4.300,	38.695, 	35.296, 	32.486
565.78,   	4.300,	37.590, 	34.391, 	31.971
566.54,   	4.300,	38.618, 	34.812, 	31.400
567.31,   	4.300,	38.223, 	34.543, 	31.390
568.08,   	4.300,	36.415, 	33.216, 	30.820
568.84,   	4.300,	37.089, 	33.468, 	30.319
569.61,   	4.300,	37.507, 	33.653, 	30.300
570.38,   	4.300,	35.584, 	32.290, 	29.750
571.14,   	4.300,	35.607, 	32.162, 	29.286
571.92,   	4.300,	36.196, 	32.314, 	28.907
572.68,   	4.300,	35.048, 	31.602, 	28.827
573.45,   	4.300,	34.378, 	31.054, 	28.381
574.22,   	4.300,	35.215, 	31.425, 	28.098
574.98,   	4.300,	34.720, 	31.107, 	28.091
575.76,   	4.300,	33.561, 	30.273, 	27.673
576.52,   	4.300,	34.297, 	30.651, 	27.486
577.29,   	4.300,	34.576, 	30.807, 	27.580
578.06,   	4.300,	33.202, 	29.873, 	27.223
578.82,   	4.300,	33.593, 	30.093, 	27.116
579.60,   	4.300,	34.470, 	30.615, 	27.274
580.36,   	4.300,	33.241, 	29.822, 	27.053
581.14,   	4.300,	33.082, 	29.722, 	26.949
581.91,   	4.300,	34.306, 	30.499, 	27.172
582.67,   	4.300,	33.529, 	30.006, 	27.092
583.44,   	4.300,	33.092, 	29.793, 	27.137
584.22,   	4.300,	34.406, 	30.683, 	27.430
584.99,   	4.300,	34.187, 	30.537, 	27.457
585.77,   	4.300,	33.452, 	30.171, 	27.588
586.53,   	4.300,	34.680, 	31.071, 	27.950
587.31,   	4.300,	35.105, 	31.315, 	28.054
588.08,   	4.300,	34.161, 	30.853, 	28.267
588.85,   	4.300,	35.118, 	31.639, 	28.702
589.63,   	4.300,	36.469, 	32.585, 	29.179
590.39,   	4.300,	35.177, 	31.805, 	29.134
591.17,   	4.300,	35.660, 	32.323, 	29.632
591.94,   	4.300,	37.449, 	33.580, 	30.135
592.71,   	4.300,	36.463, 	32.983, 	30.134
593.49,   	4.300,	36.332, 	33.116, 	30.657
594.26,   	4.300,	38.362, 	34.572, 	31.177
595.03,   	4.300,	37.980, 	34.321, 	31.182
595.80,   	4.300,	37.172, 	34.031, 	31.706
596.57,   	4.300,	39.140, 	35.492, 	32.264
597.34,   	4.300,	39.404, 	35.586, 	32.199
598.12,   	4.300,	38.198, 	35.085, 	32.735
598.88,   	4.300,	39.720, 	36.261, 	33.319
599.66,   	4.300,	41.176, 	37.211, 	33.580
600.43,   	4.300,	39.453, 	36.289, 	33.710
601.20,   	4.300,	40.035, 	36.801, 	34.238
601.98,   	4.300,	42.117, 	38.150, 	34.458
602.74,   	4.300,	40.859, 	37.534, 	34.565
603.52,   	4.300,	40.291, 	37.257, 	34.985
604.29,   	4.300,	42.654, 	38.792, 	35.198
605.06,   	4.300,	42.232, 	38.595, 	35.172
605.84,   	4.300,	40.702, 	37.788, 	35.547
606.60,   	4.300,	42.766, 	39.094, 	35.767
607.39,   	4.300,	43.342, 	39.390, 	35.652
608.15,   	4.300,	41.346, 	38.453, 	35.980
608.93,   	4.300,	42.432, 	39.040, 	36.166
609.70,   	4.300,	44.000, 	39.912, 	36.041
610.46,   	4.300,	42.188, 	39.168, 	36.283
611.23,   	4.300,	42.041, 	38.884, 	36.369
612.01,   	4.300,	44.077, 	40.037, 	36.209
612.77,   	4.300,	43.027, 	39.709, 	36.390
613.56,   	4.300,	41.197, 	38.270, 	35.985
614.33,   	4.300,	43.254, 	39.412, 	35.828
615.11,   	4.300,	43.142, 	39.430, 	35.801
615.88,   	4.300,	41.036, 	38.184, 	35.846
616.65,   	4.300,	42.526, 	38.940, 	35.729
617.44,   	4.300,	43.121, 	39.133, 	35.362
618.21,   	4.300,	41.096, 	38.169, 	35.589
618.99,   	4.300,	41.450, 	38.168, 	35.454
619.77,   	4.300,	42.762, 	38.754, 	34.987
620.53,   	4.300,	41.244, 	38.087, 	35.177
621.32,   	4.300,	40.361, 	37.304, 	34.960
622.09,   	4.300,	41.986, 	38.106, 	34.495
622.87,   	4.300,	41.338, 	37.813, 	34.539
623.65,   	4.300,	39.455, 	36.471, 	34.247
624.41,   	4.300,	40.828, 	37.158, 	33.846
625.19,   	4.300,	40.966, 	37.171, 	33.697
625.97,   	4.300,	38.770, 	35.727, 	33.402
626.74,   	4.300,	39.412, 	35.968, 	33.034
627.53,   	4.300,	39.868, 	35.948, 	32.394
628.29,   	4.300,	38.273, 	35.054, 	32.474
629.07,   	4.300,	37.882, 	34.629, 	32.059
629.85,   	4.300,	38.807, 	34.943, 	31.454
630.62,   	4.300,	37.842, 	34.383, 	31.490
631.41,   	4.300,	36.549, 	33.378, 	30.991
632.18,   	4.300,	37.479, 	33.763, 	30.469
632.95,   	4.300,	37.398, 	33.685, 	30.482
633.73,   	4.300,	35.576, 	32.367, 	29.940
634.50,   	4.300,	36.057, 	32.520, 	29.491
635.29,   	4.300,	36.513, 	32.657, 	29.285
636.06,   	4.300,	34.924, 	31.600, 	28.997
636.84,   	4.300,	34.696, 	31.334, 	28.581
637.61,   	4.300,	35.461, 	31.629, 	28.263
638.38,   	4.300,	34.533, 	31.054, 	28.214
639.16,   	4.300,	33.719, 	30.434, 	27.815
639.94,   	4.300,	34.570, 	30.846, 	27.590
640.70,   	4.300,	34.312, 	30.680, 	27.619
641.49,   	4.300,	33.123, 	29.845, 	27.260
642.26,   	4.300,	33.789, 	30.209, 	27.123
643.04,   	4.300,	34.272, 	30.498, 	27.249
643.82,   	4.300,	32.956, 	29.620, 	26.959
644.58,   	4.300,	33.241, 	29.800, 	26.901
645.37,   	4.300,	34.163, 	30.345, 	27.021
646.14,   	4.300,	33.079, 	29.655, 	26.871
646.93,   	4.300,	32.921, 	29.598, 	26.889
647.71,   	4.300,	34.199, 	30.429, 	27.131
648.48,   	4.300,	33.586, 	30.045, 	27.100
649.27,   	4.300,	33.042, 	29.778, 	27.190
650.05,   	4.300,	34.380, 	30.703, 	27.498
650.83,   	4.300,	34.394, 	30.706, 	27.565
651.61,   	4.300,	33.545, 	30.278, 	27.729
652.38,   	4.300,	34.716, 	31.159, 	28.105
653.16,   	4.300,	35.294, 	31.502, 	28.221
653.95,   	4.300,	34.338, 	31.036, 	28.459
654.72,   	4.300,	35.180, 	31.759, 	28.907
655.51,   	4.300,	36.636, 	32.775, 	29.366
656.28,   	4.300,	35.409, 	32.035, 	29.342
657.06,   	4.300,	35.723, 	32.443, 	29.842
657.85,   	4.300,	37.535, 	33.707, 	30.285
658.62,   	4.300,	36.702, 	33.214, 	30.316
659.41,   	4.300,	36.360, 	33.197, 	30.813
660.18,   	4.300,	38.339, 	34.613, 	31.280
660.97,   	4.300,	38.163, 	34.488, 	31.283
661.75,   	4.300,	37.176, 	34.075, 	31.770
662.52,   	4.300,	38.978, 	35.413, 	32.285
663.31,   	4.300,	39.713, 	35.860, 	32.379
664.08,   	4.300,	38.187, 	35.091, 	32.690
664.87,   	4.300,	39.320, 	35.991, 	33.227
665.65,   	4.300,	40.973, 	37.038, 	33.401
666.42,   	4.300,	39.405, 	36.230, 	33.542
667.20,   	4.300,	39.617, 	36.476, 	34.009
667.98,   	4.300,	41.686, 	37.783, 	34.142
668.76,   	4.300,	40.703, 	37.343, 	34.255
669.55,   	4.300,	39.811, 	36.846, 	34.596
670.32,   	4.300,	42.016, 	38.246, 	34.759
671.10,   	4.300,	41.901, 	38.215, 	34.713
671.89,   	4.300,	40.235, 	37.349, 	35.040
672.66,   	4.300,	41.975, 	38.416, 	35.232
673.45,   	4.300,	42.886, 	38.913, 	35.142
674.22,   	4.300,	40.888, 	37.974, 	35.379
675.00,   	4.300,	41.551, 	38.275, 	35.537
675.79,   	4.300,	43.224, 	39.185, 	35.358
676.56,   	4.300,	41.683, 	38.596, 	35.593
677.35,   	4.300,	41.060, 	38.035, 	35.649
678.12,   	4.300,	42.761, 	38.832, 	35.131
678.91,   	4.300,	42.135, 	38.689, 	35.265
679.70,   	4.300,	40.436, 	37.553, 	35.262
680.47,   	4.300,	42.269, 	38.544, 	35.109
681.25,   	4.300,	42.428, 	38.667, 	35.024
682.04,   	4.300,	40.331, 	37.466, 	35.061
682.82,   	4.300,	41.454, 	37.997, 	34.955
683.62,   	4.300,	42.236, 	38.271, 	34.532
684.39,   	4.300,	40.408, 	37.418, 	34.750
685.18,   	4.300,	40.379, 	37.199, 	34.613
685.96,   	4.300,	41.734, 	37.804, 	34.122
686.74,   	4.300,	40.508, 	37.268, 	34.284
687.54,   	4.300,	39.337, 	36.332, 	34.044
688.31,   	4.300,	40.855, 	37.078, 	33.597
689.10,   	4.300,	40.509, 	36.917, 	33.603
689.89,   	4.300,	38.544, 	35.556, 	33.305
690.66,   	4.300,	39.661, 	36.097, 	32.936
691.46,   	4.300,	39.878, 	36.040, 	32.546
692.23,   	4.300,	37.966, 	34.875, 	32.471
693.02,   	4.300,	38.195, 	34.871, 	32.128
693.81,   	4.300,	38.904, 	35.023, 	31.511
694.58,   	4.300,	37.543, 	34.257, 	31.583
695.36,   	4.300,	36.877, 	33.673, 	31.176
696.15,   	4.300,	37.810, 	34.015, 	30.613
696.93,   	4.300,	37.139, 	33.625, 	30.656
697.73,   	4.300,	35.717, 	32.550, 	30.165
698.50,   	4.300,	36.519, 	32.880, 	29.696
699.29,   	4.300,	36.713, 	32.970, 	29.724
700.07,   	4.300,	34.920, 	31.687, 	29.211
700.85,   	4.300,	35.202, 	31.735, 	28.809
701.65,   	4.300,	35.679, 	31.846, 	28.489
702.42,   	4.300,	34.422, 	31.060, 	28.387
703.21,   	4.300,	34.017, 	30.697, 	28.014
704.00,   	4.300,	34.854, 	31.068, 	27.747
704.77,   	4.300,	34.151, 	30.635, 	27.731
705.57,   	4.300,	33.194, 	29.939, 	27.372
706.34,   	4.300,	34.056, 	30.391, 	27.201
707.13,   	4.300,	34.092, 	30.411, 	27.273
707.92,   	4.300,	32.826, 	29.546, 	26.959
708.69,   	4.300,	33.407, 	29.883, 	26.871
709.47,   	4.300,	34.061, 	30.282, 	27.014
710.26,   	4.300,	32.831, 	29.480, 	26.797
711.04,   	4.300,	32.954, 	29.567, 	26.743
711.84,   	4.300,	34.065, 	30.266, 	26.950
712.62,   	4.300,	33.123, 	29.675, 	26.856
713.41,   	4.300,	32.863, 	29.570, 	26.919
714.20,   	4.300,	34.185, 	30.448, 	27.180
714.98,   	4.300,	33.736, 	30.172, 	27.190
715.78,   	4.300,	33.123, 	29.872, 	27.324
716.56,   	4.300,	34.439, 	30.803, 	27.647
717.35,   	4.300,	34.630, 	30.917, 	27.736
718.14,   	4.300,	33.725, 	30.464, 	27.934
718.92,   	4.300,	34.823, 	31.315, 	28.328
719.73,   	4.300,	35.764, 	31.942, 	28.602
720.50,   	4.300,	34.595, 	31.291, 	28.706
721.30,   	4.300,	35.239, 	31.896, 	29.170
722.08,   	4.300,	36.838, 	32.994, 	29.581
722.86,   	4.300,	35.714, 	32.330, 	29.598
723.65,   	4.300,	35.835, 	32.611, 	30.091
724.44,   	4.300,	37.669, 	33.882, 	30.487
725.22,   	4.300,	36.999, 	33.497, 	30.537
726.03,   	4.300,	36.455, 	33.337, 	31.003
726.80,   	4.300,	38.368, 	34.705, 	31.437
727.59,   	4.300,	38.395, 	34.698, 	31.424
728.38,   	4.300,	37.268, 	34.195, 	31.880
729.16,   	4.300,	38.878, 	35.396, 	32.367
729.97,   	4.300,	39.961, 	36.093, 	32.550
730.74,   	4.300,	38.280, 	35.188, 	32.709
731.54,   	4.300,	39.099, 	35.856, 	33.199
732.33,   	4.300,	40.843, 	36.936, 	33.302
733.10,   	4.300,	39.464, 	36.265, 	33.456
733.91,   	4.300,	39.226, 	36.193, 	33.846
734.68,   	4.300,	41.365, 	37.523, 	33.940
735.48,   	4.300,	40.759, 	37.292, 	34.024
736.27,   	4.300,	39.500, 	36.581, 	34.321
737.04,   	4.300,	41.526, 	37.845, 	34.464
737.83,   	4.300,	41.676, 	37.945, 	34.379
738.63,   	4.300,	39.951, 	37.073, 	34.677
739.40,   	4.300,	41.349, 	37.898, 	34.850
740.21,   	4.300,	42.467, 	38.491, 	34.714
740.98,   	4.300,	40.610, 	37.661, 	34.942
741.77,   	4.300,	40.873, 	37.694, 	35.070
742.57,   	4.300,	42.606, 	38.618, 	34.845
743.34,   	4.300,	41.339, 	38.180, 	35.068
744.15,   	4.300,	40.202, 	37.253, 	34.913
744.93,   	4.300,	42.150, 	38.305, 	34.703
745.73,   	4.300,	41.804, 	38.270, 	34.784
746.52,   	4.300,	39.946, 	37.083, 	34.767
747.30,   	4.300,	41.536, 	37.922, 	34.629
748.11,   	4.300,	41.900, 	38.047, 	34.370
748.89,   	4.300,	39.888, 	36.992, 	34.513
749.69,   	4.300,	40.528, 	37.231, 	34.417
750.48,   	4.300,	41.584, 	37.647, 	33.942
751.26,   	4.300,	39.968, 	36.905, 	34.148
752.06,   	4.300,	39.575, 	36.473, 	33.989
752.85,   	4.300,	40.954, 	37.094, 	33.495
753.63,   	4.300,	39.996, 	36.675, 	33.622
754.45,   	4.300,	38.600, 	35.616, 	33.354
755.22,   	4.300,	39.982, 	36.295, 	32.936
756.02,   	4.300,	39.911, 	36.257, 	32.904
756.82,   	4.300,	37.900, 	34.886, 	32.592
757.59,   	4.300,	38.749, 	35.273, 	32.248
758.41,   	4.300,	39.008, 	35.165, 	31.685
759.19,   	4.300,	37.402, 	34.252, 	31.763
759.98,   	4.300,	37.332, 	34.064, 	31.421
760.78,   	4.300,	38.141, 	34.296, 	30.828
761.56,   	4.300,	37.022, 	33.665, 	30.897
762.37,   	4.300,	36.047, 	32.886, 	30.472
763.15,   	4.300,	37.012, 	33.279, 	29.960
763.95,   	4.300,	36.718, 	33.107, 	30.010
764.74,   	4.300,	35.103, 	31.922, 	29.517
765.52,   	4.300,	35.750, 	32.179, 	29.094
766.31,   	4.300,	36.180, 	32.408, 	29.126
767.11,   	4.300,	34.454, 	31.184, 	28.649
767.89,   	4.300,	34.523, 	31.115, 	28.279
768.70,   	4.300,	35.144, 	31.326, 	27.977
769.48,   	4.300,	34.081, 	30.674, 	27.927
770.27,   	4.300,	33.503, 	30.215, 	27.583
771.07,   	4.300,	34.384, 	30.641, 	27.365
771.85,   	4.300,	33.903, 	30.349, 	27.381
772.66,   	4.300,	32.867, 	29.616, 	27.061
773.44,   	4.300,	33.677, 	30.064, 	26.938
774.24,   	4.300,	33.937, 	30.225, 	27.042
775.03,   	4.300,	32.672, 	29.378, 	26.777
775.81,   	4.300,	33.151, 	29.678, 	26.731
776.62,   	4.300,	33.977, 	30.176, 	26.874
777.40,   	4.300,	32.815, 	29.442, 	26.729
778.21,   	4.300,	32.816, 	29.485, 	26.758
779.00,   	4.300,	34.081, 	30.298, 	26.991
779.79,   	4.300,	33.287, 	29.807, 	26.944
780.58,   	4.300,	32.918, 	29.651, 	27.047
781.39,   	4.300,	34.279, 	30.573, 	27.335
