time, V_res, Current, Resistance, QDS_v_threshold
3.406800,	8.391077,	18.48094,	0.454040,0.2
3.507000,	8.161763,	17.74405,	0.459972,0.2
3.607200,	7.867432,	17.07525,	0.460751,0.2
3.707400,	7.540599,	16.41846,	0.459276,0.2
3.807600,	7.204314,	15.77368,	0.456730,0.2
3.907800,	6.989542,	15.13291,	0.461877,0.2
4.008000,	6.655253,	14.56823,	0.456833,0.2
4.108200,	6.435275,	13.97952,	0.460336,0.2
4.208400,	6.079112,	13.46290,	0.451546,0.2
4.308600,	5.956941,	12.94227,	0.460270,0.2
4.408800,	5.507801,	12.41364,	0.443689,0.2
4.509000,	5.336051,	11.96109,	0.446117,0.2
4.609200,	5.150715,	11.48452,	0.448492,0.2
4.709400,	5.005725,	11.07603,	0.451942,0.2
4.809600,	4.707806,	10.63550,	0.442650,0.2
4.909800,	4.626509,	10.21900,	0.452736,0.2
5.010000,	4.403479,	9.830527,	0.447939,0.2
5.110200,	4.143736,	9.446065,	0.438673,0.2
5.210400,	3.957038,	9.081627,	0.435719,0.2
5.310600,	3.834642,	8.721193,	0.439692,0.2
5.410800,	3.782541,	8.448865,	0.447698,0.2
5.511000,	3.518079,	8.080422,	0.435383,0.2
5.611200,	3.343317,	7.788070,	0.429287,0.2

