time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.2150, 	-0.0550,	86.0000,	0.00073,    0.06301,	14.31006
0.2175, 	-0.0525,	86.0000,	0.00075,    0.06435,	14.31991
0.2200, 	-0.0500,	86.0000,	0.00076,    0.06497,	14.32963
0.2225, 	-0.0475,	86.0000,	0.00076,    0.06565,	14.33922
0.2250, 	-0.0450,	86.0000,	0.00077,    0.06627,	14.34870
0.2275, 	-0.0425,	86.0000,	0.00078,    0.06696,	14.35805
0.2300, 	-0.0400,	86.0000,	0.00079,    0.06758,	14.36729
0.2325, 	-0.0375,	86.0000,	0.00079,    0.06817,	14.37641
0.2350, 	-0.0350,	86.0000,	0.00080,    0.06879,	14.38543
0.2375, 	-0.0325,	86.0000,	0.00081,    0.07001,	14.39433
0.2400, 	-0.0300,	86.0000,	0.00082,    0.07060,	14.40313
0.2425, 	-0.0275,	86.0000,	0.00083,    0.07122,	14.41182
0.2450, 	-0.0250,	86.0000,	0.00084,    0.07182,	14.42042
0.2475, 	-0.0225,	86.0000,	0.00084,    0.07253,	14.42891
0.2500, 	-0.0200,	86.0000,	0.00085,    0.07313,	14.43731
0.2525, 	-0.0175,	86.0000,	0.00086,    0.07384,	14.44562
0.2550, 	-0.0150,	86.0000,	0.00087,    0.07443,	14.45383
0.2575, 	-0.0125,	86.0000,	0.00087,    0.07510,	14.46196
0.2600, 	-0.0100,	86.0000,	0.00088,    0.07578,	14.47000
0.2625, 	-0.0075,	86.0000,	0.00089,    0.07644,	14.47795
0.2650, 	-0.0050,	86.0000,	0.00090,    0.07713,	14.48583
0.2675, 	-0.0025,	86.0000,	0.00090,    0.07779,	14.49361
0.2700, 	0.0000, 	86.0000,	0.00092,    0.07909,	14.50132
0.2725, 	0.0025, 	86.0000,	0.00093,    0.07972,	14.50895
0.2750, 	0.0050, 	86.0000,	0.00093,    0.08039,	14.51651
0.2775, 	0.0075, 	86.0000,	0.00094,    0.08103,	14.52399
0.2800, 	0.0100, 	86.0000,	0.00095,    0.08169,	14.53140
0.2825, 	0.0125, 	86.0000,	0.00096,    0.08233,	14.53873
0.2850, 	0.0150, 	86.0000,	0.00097,    0.08299,	14.54600
0.2875, 	0.0175, 	86.0000,	0.00097,    0.08363,	14.55319
0.2900, 	0.0200, 	86.0000,	0.00098,    0.08429,	14.56033
0.2925, 	0.0225, 	86.0000,	0.00099,    0.08493,	14.56740
0.2950, 	0.0250, 	86.0000,	0.00100,    0.08560,	14.57441
0.2975, 	0.0275, 	86.0000,	0.00100,    0.08623,	14.58138
0.3000, 	0.0300, 	86.0000,	0.00101,    0.08690,	14.58833
0.3025, 	0.0325, 	86.0000,	0.00103,    0.08820,	14.59529
0.3050, 	0.0350, 	86.0000,	0.00103,    0.08820,	14.60237
0.3075, 	0.0375, 	86.0000,	0.00104,    0.08950,	14.60983
0.3100, 	0.0400, 	86.0000,	0.00104,    0.08951,	14.61819
0.3125, 	0.0425, 	86.0000,	0.00106,    0.09080,	14.62835
0.3150, 	0.0450, 	86.0000,	0.00106,    0.09144,	14.64554
0.3175, 	0.0475, 	86.0000,	0.00107,    0.09211,	14.67743
0.3200, 	0.0500, 	86.0000,	0.00108,    0.09275,	14.71751
0.3225, 	0.0525, 	86.0000,	0.00109,    0.09342,	14.76373
0.3250, 	0.0550, 	86.0000,	0.00109,    0.09406,	14.81646
0.3275, 	0.0575, 	86.0000,	0.00110,    0.09472,	14.87781
0.3300, 	0.0600, 	86.0000,	0.00112,    0.09602,	14.95028
0.3325, 	0.0625, 	86.0000,	0.00112,    0.09603,	15.02794
0.3350, 	0.0650, 	86.0000,	0.00113,    0.09733,	15.10754
0.3375, 	0.0675, 	86.0000,	0.00113,    0.09734,	15.18775
0.3400, 	0.0700, 	86.0000,	0.00115,    0.09864,	15.26768
0.3425, 	0.0725, 	86.0000,	0.00115,    0.09865,	15.34680
0.3450, 	0.0750, 	86.0000,	0.00116,    0.09995,	15.42468
0.3475, 	0.0775, 	86.0000,	0.00116,    0.09996,	15.50106
0.3500, 	0.0800, 	86.0000,	0.00118,    0.10126,	15.57577
0.3525, 	0.0825, 	86.0000,	0.00118,    0.10127,	15.64871
