time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.9375, 	0.6675, 	63.3987,	0.25049,    15.88051,	31.65455
0.9400, 	0.6700, 	63.2988,	0.25167,    15.93044,	31.69201
0.9425, 	0.6725, 	63.2090,	0.25278,    15.97805,	31.72928
0.9450, 	0.6750, 	63.1194,	0.25381,    16.02021,	31.76639
0.9475, 	0.6775, 	63.0300,	0.25493,    16.06808,	31.80333
0.9500, 	0.6800, 	62.9406,	0.25608,    16.11806,	31.84010
0.9525, 	0.6825, 	62.8514,	0.25704,    16.15559,	31.87672
0.9550, 	0.6850, 	62.7624,	0.25808,    16.19770,	31.91317
0.9575, 	0.6875, 	62.6735,	0.25906,    16.23604,	31.94946
0.9600, 	0.6900, 	62.5748,	0.25996,    16.26694,	31.98560
0.9625, 	0.6925, 	62.4862,	0.26102,    16.31046,	32.02156
0.9650, 	0.6950, 	62.3978,	0.26204,    16.35047,	32.05737
0.9675, 	0.6975, 	62.3095,	0.26294,    16.38391,	32.09303
0.9700, 	0.7000, 	62.2213,	0.26397,    16.42486,	32.12855
0.9725, 	0.7025, 	62.1333,	0.26492,    16.46033,	32.16393
0.9750, 	0.7050, 	62.0454,	0.26588,    16.49682,	32.19916
0.9775, 	0.7075, 	61.9576,	0.26692,    16.53753,	32.23425
0.9800, 	0.7100, 	61.8700,	0.26789,    16.57407,	32.26920
0.9825, 	0.7125, 	61.7826,	0.26877,    16.60515,	32.30401
0.9850, 	0.7150, 	61.6855,	0.26967,    16.63452,	32.33868
0.9875, 	0.7175, 	61.5984,	0.27051,    16.66317,	32.37320
0.9900, 	0.7200, 	61.5017,	0.27128,    16.68428,	32.40758
0.9925, 	0.7225, 	61.4149,	0.27217,    16.71551,	32.44181
0.9950, 	0.7250, 	61.3186,	0.27297,    16.73789,	32.47591
0.9975, 	0.7275, 	61.2321,	0.27386,    16.76891,	32.50985
1.0000, 	0.7300, 	61.1361,	0.27478,    16.79880,	32.54367
1.0025, 	0.7325, 	61.0499,	0.27556,    16.82318,	32.57733
1.0050, 	0.7350, 	60.9639,	0.27656,    16.86013,	32.61086
1.0075, 	0.7375, 	60.8780,	0.27736,    16.88484,	32.64425
1.0100, 	0.7400, 	60.7923,	0.27818,    16.91097,	32.67751
1.0125, 	0.7425, 	60.7068,	0.27910,    16.94344,	32.71064
1.0150, 	0.7450, 	60.6214,	0.27988,    16.96670,	32.74364
1.0175, 	0.7475, 	60.5362,	0.28075,    16.99526,	32.77650
1.0200, 	0.7500, 	60.4512,	0.28158,    17.02171,	32.80924
1.0225, 	0.7525, 	60.3663,	0.28251,    17.05418,	32.84184
1.0250, 	0.7550, 	60.2816,	0.28335,    17.08107,	32.87431
1.0275, 	0.7575, 	60.1970,	0.28423,    17.10998,	32.90666
1.0300, 	0.7600, 	60.1127,	0.28507,    17.13657,	32.93888
1.0325, 	0.7625, 	60.0191,	0.28587,    17.15747,	32.97097
1.0350, 	0.7650, 	59.9351,	0.28668,    17.18196,	33.00293
1.0375, 	0.7675, 	59.8512,	0.28755,    17.20992,	33.03475
1.0400, 	0.7700, 	59.7676,	0.28834,    17.23345,	33.06646
1.0425, 	0.7725, 	59.6841,	0.28918,    17.25965,	33.09804
1.0450, 	0.7750, 	59.6008,	0.28997,    17.28217,	33.12949
1.0475, 	0.7775, 	59.5177,	0.29079,    17.30741,	33.16082
1.0500, 	0.7800, 	59.4348,	0.29165,    17.33432,	33.19203
1.0525, 	0.7825, 	59.3428,	0.29247,    17.35611,	33.22312
1.0550, 	0.7850, 	59.2602,	0.29336,    17.38448,	33.25408
1.0575, 	0.7875, 	59.1779,	0.29416,    17.40800,	33.28492
1.0600, 	0.7900, 	59.0957,	0.29494,    17.42973,	33.31563
1.0625, 	0.7925, 	59.0046,	0.29579,    17.45314,	33.34623
1.0650, 	0.7950, 	58.9228,	0.29664,    17.47895,	33.37670
1.0675, 	0.7975, 	58.8412,	0.29743,    17.50119,	33.40706
1.0700, 	0.8000, 	58.7598,	0.29819,    17.52144,	33.43729
1.0725, 	0.8025, 	58.6695,	0.29910,    17.54829,	33.46741
1.0750, 	0.8050, 	58.5885,	0.29983,    17.56659,	33.49741
1.0775, 	0.8075, 	58.5077,	0.30059,    17.58660,	33.52728
1.0800, 	0.8100, 	58.4271,	0.30142,    17.61137,	33.55705
1.0825, 	0.8125, 	58.3377,	0.30227,    17.63348,	33.58670
1.0850, 	0.8150, 	58.2575,	0.30303,    17.65363,	33.61623
1.0875, 	0.8175, 	58.1775,	0.30386,    17.67803,	33.64565
1.0900, 	0.8200, 	58.0977,	0.30474,    17.70481,	33.67495
1.0925, 	0.8225, 	58.0092,	0.30541,    17.71634,	33.70414
1.0950, 	0.8250, 	57.9298,	0.30616,    17.73591,	33.73322
1.0975, 	0.8275, 	57.8506,	0.30699,    17.75980,	33.76218
1.1000, 	0.8300, 	57.7628,	0.30776,    17.77680,	33.79104
1.1025, 	0.8325, 	57.6753,	0.30850,    17.79308,	33.81977
1.1050, 	0.8350, 	57.5968,	0.30927,    17.81284,	33.84839
1.1075, 	0.8375, 	57.5097,	0.31007,    17.83230,	33.87691
1.1100, 	0.8400, 	57.4316,	0.31078,    17.84839,	33.90530
1.1125, 	0.8425, 	57.3450,	0.31154,    17.86535,	33.93360
1.1150, 	0.8450, 	57.2673,	0.31236,    17.88808,	33.96177
1.1175, 	0.8475, 	57.1812,	0.31309,    17.90290,	33.98985
1.1200, 	0.8500, 	57.1040,	0.31392,    17.92626,	34.01780
1.1225, 	0.8525, 	57.0184,	0.31469,    17.94326,	34.04566
1.1250, 	0.8550, 	56.9415,	0.31542,    17.96076,	34.07340
1.1275, 	0.8575, 	56.8564,	0.31619,    17.97753,	34.10105
1.1300, 	0.8600, 	56.7800,	0.31701,    17.99967,	34.12858
1.1325, 	0.8625, 	56.6954,	0.31782,    18.01880,	34.15601
1.1350, 	0.8650, 	56.6194,	0.31855,    18.03607,	34.18333
1.1375, 	0.8675, 	56.5437,	0.31936,    18.05752,	34.21055
1.1400, 	0.8700, 	56.4597,	0.32006,    18.07070,	34.23767
1.1425, 	0.8725, 	56.3844,	0.32083,    18.08999,	34.26468
1.1450, 	0.8750, 	56.3093,	0.32159,    18.10832,	34.29160
1.1475, 	0.8775, 	56.2344,	0.32242,    18.13104,	34.31842
1.1500, 	0.8800, 	56.1598,	0.32317,    18.14933,	34.34514
1.1525, 	0.8825, 	56.0853,	0.32387,    18.16435,	34.37176
1.1550, 	0.8850, 	56.0110,	0.32470,    18.18705,	34.39829
1.1575, 	0.8875, 	55.9370,	0.32543,    18.20385,	34.42472
1.1600, 	0.8900, 	55.8631,	0.32616,    18.22019,	34.45105
1.1625, 	0.8925, 	55.7895,	0.32695,    18.24043,	34.47730
1.1650, 	0.8950, 	55.7163,	0.32071,    17.86876,	34.50307
1.1675, 	0.8975, 	55.6433,	0.32147,    17.88792,	34.52864
1.1700, 	0.9000, 	55.5706,	0.32217,    17.90338,	34.55413
1.1725, 	0.9025, 	55.4980,	0.32296,    17.92367,	34.57952
1.1750, 	0.9050, 	55.4257,	0.32365,    17.93843,	34.60482
1.1775, 	0.9075, 	55.3536,	0.32441,    17.95715,	34.63002
1.1800, 	0.9100, 	55.2817,	0.32507,    17.97066,	34.65514
1.1825, 	0.9125, 	55.2020,	0.32596,    17.99348,	34.68016
1.1850, 	0.9150, 	55.1305,	0.32663,    18.00727,	34.70508
1.1875, 	0.9175, 	55.0592,	0.32736,    18.02419,	34.72992
1.1900, 	0.9200, 	54.9881,	0.32810,    18.04179,	34.75466
1.1925, 	0.9225, 	54.9094,	0.32886,    18.05753,	34.77932
1.1950, 	0.9250, 	54.8387,	0.32956,    18.07268,	34.80389
1.1975, 	0.9275, 	54.7683,	0.33028,    18.08893,	34.82836
1.2000, 	0.9300, 	54.6981,	0.33102,    18.10627,	34.85275
1.2025, 	0.9325, 	54.6203,	0.33170,    18.11734,	34.87706
1.2050, 	0.9350, 	54.5505,	0.33249,    18.13742,	34.90127
1.2075, 	0.9375, 	54.4809,	0.33317,    18.15150,	34.92540
1.2100, 	0.9400, 	54.4116,	0.33399,    18.17284,	34.94945
1.2125, 	0.9425, 	54.3347,	0.33470,    18.18593,	34.97341
1.2150, 	0.9450, 	54.2658,	0.33540,    18.20056,	34.99729
1.2175, 	0.9475, 	54.1970,	0.33616,    18.21903,	35.02108
1.2200, 	0.9500, 	54.1285,	0.33688,    18.23467,	35.04479
1.2225, 	0.9525, 	54.0526,	0.33763,    18.24966,	35.06843
1.2250, 	0.9550, 	53.9845,	0.33831,    18.26340,	35.09198
1.2275, 	0.9575, 	53.9166,	0.33904,    18.27991,	35.11547
1.2300, 	0.9600, 	53.8489,	0.33976,    18.29572,	35.13888
1.2325, 	0.9625, 	53.7739,	0.34049,    18.30930,	35.16222
1.2350, 	0.9650, 	53.7066,	0.34114,    18.32124,	35.18548
1.2375, 	0.9675, 	53.6395,	0.34189,    18.33868,	35.20867
1.2400, 	0.9700, 	53.5727,	0.34269,    18.35872,	35.23180
1.2425, 	0.9725, 	53.4986,	0.34342,    18.37243,	35.25485
1.2450, 	0.9750, 	53.4321,	0.34410,    18.38592,	35.27782
1.2475, 	0.9775, 	53.3659,	0.34480,    18.40078,	35.30073
1.2500, 	0.9800, 	53.2998,	0.34552,    18.41614,	35.32356
1.2525, 	0.9825, 	53.2266,	0.34623,    18.42884,	35.34633
1.2550, 	0.9850, 	53.1609,	0.34698,    18.44598,	35.36902
1.2575, 	0.9875, 	53.0955,	0.34773,    18.46277,	35.39164
1.2600, 	0.9900, 	53.0302,	0.34841,    18.47607,	35.41420
1.2625, 	0.9925, 	52.9579,	0.34914,    18.48954,	35.43669
1.2650, 	0.9950, 	52.8931,	0.34993,    18.50905,	35.45910
1.2675, 	0.9975, 	52.8284,	0.35064,    18.52353,	35.48145
1.2700, 	1.0000, 	52.7639,	0.35135,    18.53839,	35.50373
1.2725, 	1.0025, 	52.6925,	0.35206,    18.55071,	35.52595
1.2750, 	1.0050, 	52.6284,	0.35286,    18.57065,	35.54809
1.2775, 	1.0075, 	52.5645,	0.35357,    18.58534,	35.57016
1.2800, 	1.0100, 	52.5008,	0.35432,    18.60219,	35.59218
1.2825, 	1.0125, 	52.4303,	0.35503,    18.61438,	35.61412
1.2850, 	1.0150, 	52.3670,	0.35581,    18.63259,	35.63600
1.2875, 	1.0175, 	52.2968,	0.35649,    18.64309,	35.65781
1.2900, 	1.0200, 	52.2339,	0.35725,    18.66036,	35.67955
1.2925, 	1.0225, 	52.1642,	0.35792,    18.67044,	35.70123
1.2950, 	1.0250, 	52.1017,	0.35868,    18.68803,	35.72284
1.2975, 	1.0275, 	52.0324,	0.35939,    18.69979,	35.74438
1.3000, 	1.0300, 	51.9703,	0.36014,    18.71680,	35.76586
1.3025, 	1.0325, 	51.9084,	0.36088,    18.73286,	35.78727
1.3050, 	1.0350, 	51.8466,	0.36165,    18.75027,	35.80862
1.3075, 	1.0375, 	51.7850,	0.36235,    18.76432,	35.82991
1.3100, 	1.0400, 	51.7236,	0.36313,    18.78227,	35.85114
1.3125, 	1.0425, 	51.6624,	0.36382,    18.79563,	35.87231
1.3150, 	1.0450, 	51.6013,	0.36453,    18.81011,	35.89341
1.3175, 	1.0475, 	51.5404,	0.36526,    18.82589,	35.91446
1.3200, 	1.0500, 	51.4797,	0.36598,    18.84070,	35.93544
1.3225, 	1.0525, 	51.4125,	0.36672,    18.85377,	35.95637
1.3250, 	1.0550, 	51.3521,	0.36746,    18.86993,	35.97723
1.3275, 	1.0575, 	51.2853,	0.36817,    18.88177,	35.99803
1.3300, 	1.0600, 	51.2254,	0.36890,    18.89717,	36.01876
1.3325, 	1.0625, 	51.1656,	0.36967,    18.91437,	36.03944
1.3350, 	1.0650, 	51.1060,	0.37037,    18.92788,	36.06006
1.3375, 	1.0675, 	51.0465,	0.37105,    18.94085,	36.08061
1.3400, 	1.0700, 	50.9873,	0.37178,    18.95597,	36.10111
1.3425, 	1.0725, 	50.9216,	0.37254,    18.97031,	36.12156
1.3450, 	1.0750, 	50.8627,	0.37325,    18.98427,	36.14194
1.3475, 	1.0775, 	50.8040,	0.37396,    18.99860,	36.16226
1.3500, 	1.0800, 	50.7454,	0.37468,    19.01323,	36.18253
1.3525, 	1.0825, 	50.6805,	0.37543,    19.02698,	36.20274
1.3550, 	1.0850, 	50.6223,	0.37616,    19.04222,	36.22288
1.3575, 	1.0875, 	50.5643,	0.37686,    19.05556,	36.24297
1.3600, 	1.0900, 	50.5064,	0.37753,    19.06787,	36.26301
1.3625, 	1.0925, 	50.4423,	0.37827,    19.08069,	36.28299
1.3650, 	1.0950, 	50.3847,	0.37902,    19.09678,	36.30290
1.3675, 	1.0975, 	50.3274,	0.37976,    19.11254,	36.32277
1.3700, 	1.1000, 	50.2702,	0.38046,    19.12594,	36.34258
1.3725, 	1.1025, 	50.2068,	0.38116,    19.13666,	36.36233
1.3750, 	1.1050, 	50.1500,	0.38188,    19.15139,	36.38202
1.3775, 	1.1075, 	50.0933,	0.38264,    19.16750,	36.40166
1.3800, 	1.1100, 	50.0305,	0.38333,    19.17828,	36.42125
1.3825, 	1.1125, 	49.9679,	0.38403,    19.18902,	36.44078
1.3850, 	1.1150, 	49.9117,	0.38476,    19.20402,	36.46025
1.3875, 	1.1175, 	49.8557,	0.38546,    19.21733,	36.47966
1.3900, 	1.1200, 	49.7936,	0.38620,    19.23033,	36.49903
1.3925, 	1.1225, 	49.7318,	0.38691,    19.24171,	36.51833
1.3950, 	1.1250, 	49.6763,	0.38758,    19.25371,	36.53758
1.3975, 	1.1275, 	49.6209,	0.38834,    19.26965,	36.55678
1.4000, 	1.1300, 	49.5596,	0.38903,    19.28015,	36.57592
1.4025, 	1.1325, 	49.5046,	0.38977,    19.29532,	36.59501
1.4050, 	1.1350, 	49.4498,	0.39043,    19.30673,	36.61405
1.4075, 	1.1375, 	49.3951,	0.39119,    19.32275,	36.63303
1.4100, 	1.1400, 	49.3405,	0.39185,    19.33423,	36.65196
1.4125, 	1.1425, 	49.2801,	0.39257,    19.34593,	36.67085
1.4150, 	1.1450, 	49.2259,	0.39324,    19.35744,	36.68968
1.4175, 	1.1475, 	49.1718,	0.39397,    19.37229,	36.70845
1.4200, 	1.1500, 	49.1179,	0.39471,    19.38731,	36.72718
1.4225, 	1.1525, 	49.0582,	0.39537,    19.39600,	36.74586
1.4250, 	1.1550, 	49.0046,	0.39601,    19.40625,	36.76449
1.4275, 	1.1575, 	48.9511,	0.39672,    19.42011,	36.78306
1.4300, 	1.1600, 	48.8978,	0.39736,    19.43015,	36.80159
1.4325, 	1.1625, 	48.8388,	0.39806,    19.44094,	36.82007
1.4350, 	1.1650, 	48.7858,	0.39871,    19.45136,	36.83849
1.4375, 	1.1675, 	48.7330,	0.39942,    19.46488,	36.85687
1.4400, 	1.1700, 	48.6803,	0.40011,    19.47725,	36.87519
1.4425, 	1.1725, 	48.6219,	0.40077,    19.48611,	36.89348
1.4450, 	1.1750, 	48.5695,	0.40137,    19.49455,	36.91170
1.4475, 	1.1775, 	48.5173,	0.40201,    19.50458,	36.92988
1.4500, 	1.1800, 	48.4651,	0.40274,    19.51880,	36.94802
1.4525, 	1.1825, 	48.4132,	0.40340,    19.52993,	36.96610
1.4550, 	1.1850, 	48.3614,	0.40403,    19.53962,	36.98414
1.4575, 	1.1875, 	48.3097,	0.40465,    19.54864,	37.00213
1.4600, 	1.1900, 	48.2581,	0.40533,    19.56042,	37.02008
1.4625, 	1.1925, 	48.2010,	0.40592,    19.56587,	37.03798
1.4650, 	1.1950, 	48.1497,	0.40656,    19.57591,	37.05583
1.4675, 	1.1975, 	48.0985,	0.40721,    19.58630,	37.07363
1.4700, 	1.2000, 	48.0475,	0.40780,    19.59374,	37.09139
1.4725, 	1.2025, 	47.9967,	0.40845,    19.60440,	37.10910
1.4750, 	1.2050, 	47.9459,	0.40906,    19.61270,	37.12677
1.4775, 	1.2075, 	47.8953,	0.40964,    19.61977,	37.14440
1.4800, 	1.2100, 	47.8448,	0.41026,    19.62876,	37.16197
1.4825, 	1.2125, 	47.7945,	0.41086,    19.63691,	37.17951
1.4850, 	1.2150, 	47.7442,	0.41147,    19.64554,	37.19700
1.4875, 	1.2175, 	47.6941,	0.41206,    19.65291,	37.21444
1.4900, 	1.2200, 	47.6441,	0.41263,    19.65954,	37.23184
1.4925, 	1.2225, 	47.5887,	0.41319,    19.66340,	37.24920
1.4950, 	1.2250, 	47.5390,	0.41383,    19.67296,	37.26651
1.4975, 	1.2275, 	47.4894,	0.41436,    19.67756,	37.28377
1.5000, 	1.2300, 	47.4399,	0.41488,    19.68185,	37.30100
1.5025, 	1.2325, 	47.3851,	0.41545,    19.68625,	37.31818
1.5050, 	1.2350, 	47.3359,	0.41607,    19.69512,	37.33531
1.5075, 	1.2375, 	47.2868,	0.41661,    19.70039,	37.35240
1.5100, 	1.2400, 	47.2378,	0.41712,    19.70364,	37.36944
1.5125, 	1.2425, 	47.1889,	0.41767,    19.70926,	37.38645
1.5150, 	1.2450, 	47.1402,	0.41817,    19.71262,	37.40341
1.5175, 	1.2475, 	47.0916,	0.41878,    19.72119,	37.42033
1.5200, 	1.2500, 	47.0430,	0.41927,    19.72366,	37.43721
1.5225, 	1.2525, 	46.9893,	0.41977,    19.72471,	37.45404
1.5250, 	1.2550, 	46.9410,	0.42025,    19.72700,	37.47083
1.5275, 	1.2575, 	46.8928,	0.42086,    19.73509,	37.48758
1.5300, 	1.2600, 	46.8448,	0.42133,    19.73715,	37.50429
1.5325, 	1.2625, 	46.7915,	0.42180,    19.73646,	37.52096
1.5350, 	1.2650, 	46.7437,	0.42228,    19.73912,	37.53758
1.5375, 	1.2675, 	46.6960,	0.42280,    19.74326,	37.55416
1.5400, 	1.2700, 	46.6485,	0.42331,    19.74659,	37.57070
1.5425, 	1.2725, 	46.5957,	0.42376,    19.74534,	37.58721
1.5450, 	1.2750, 	46.5483,	0.42424,    19.74759,	37.60366
1.5475, 	1.2775, 	46.5011,	0.42473,    19.75043,	37.62008
1.5500, 	1.2800, 	46.4540,	0.42520,    19.75222,	37.63646
1.5525, 	1.2825, 	46.4017,	0.42566,    19.75156,	37.65280
1.5550, 	1.2850, 	46.3548,	0.42609,    19.75133,	37.66909
1.5575, 	1.2875, 	46.3080,	0.42654,    19.75205,	37.68535
1.5600, 	1.2900, 	46.2613,	0.42701,    19.75421,	37.70157
1.5625, 	1.2925, 	46.2095,	0.42748,    19.75371,	37.71775
1.5650, 	1.2950, 	46.1630,	0.42787,    19.75198,	37.73388
1.5675, 	1.2975, 	46.1115,	0.42831,    19.75000,	37.74998
1.5700, 	1.3000, 	46.0652,	0.42875,    19.75052,	37.76604
1.5725, 	1.3025, 	46.0139,	0.42923,    19.75076,	37.78206
1.5750, 	1.3050, 	45.9679,	0.42965,    19.75003,	37.79803
1.5775, 	1.3075, 	45.9168,	0.43005,    19.74650,	37.81397
1.5800, 	1.3100, 	45.8710,	0.43046,    19.74573,	37.82987
1.5825, 	1.3125, 	45.8202,	0.43091,    19.74436,	37.84573
1.5850, 	1.3150, 	45.7746,	0.43132,    19.74365,	37.86155
1.5875, 	1.3175, 	45.7243,	0.42017,    19.21180,	37.87700
1.5900, 	1.3200, 	45.6791,	0.42056,    19.21080,	37.89236
1.5925, 	1.3225, 	45.6290,	0.42097,    19.20834,	37.90768
1.5950, 	1.3250, 	45.5841,	0.42138,    19.20804,	37.92296
1.5975, 	1.3275, 	45.5342,	0.42176,    19.20464,	37.93821
1.6000, 	1.3300, 	45.4895,	0.42216,    19.20387,	37.95341
1.6025, 	1.3325, 	45.4399,	0.42253,    19.19965,	37.96858
1.6050, 	1.3350, 	45.3953,	0.42295,    19.19988,	37.98370
1.6075, 	1.3375, 	45.3509,	0.42333,    19.19852,	37.99879
1.6100, 	1.3400, 	45.3016,	0.42369,    19.19396,	38.01384
1.6125, 	1.3425, 	45.2573,	0.42407,    19.19235,	38.02885
1.6150, 	1.3450, 	45.2131,	0.42447,    19.19147,	38.04382
1.6175, 	1.3475, 	45.1690,	0.42486,    19.19052,	38.05876
1.6200, 	1.3500, 	45.1250,	0.42521,    19.18763,	38.07367
1.6225, 	1.3525, 	45.0811,	0.42560,    19.18633,	38.08854
1.6250, 	1.3550, 	45.0373,	0.42598,    19.18504,	38.10338
1.6275, 	1.3575, 	44.9936,	0.42637,    19.18373,	38.11819
1.6300, 	1.3600, 	44.9499,	0.42673,    19.18162,	38.13296
1.6325, 	1.3625, 	44.9064,	0.42709,    19.17909,	38.14771
1.6350, 	1.3650, 	44.8629,	0.42746,    19.17691,	38.16242
1.6375, 	1.3675, 	44.8195,	0.42783,    19.17516,	38.17710
1.6400, 	1.3700, 	44.7762,	0.42820,    19.17335,	38.19175
1.6425, 	1.3725, 	44.7282,	0.42855,    19.16815,	38.20637
1.6450, 	1.3750, 	44.6851,	0.42891,    19.16574,	38.22096
1.6475, 	1.3775, 	44.6421,	0.42926,    19.16293,	38.23551
1.6500, 	1.3800, 	44.5991,	0.42962,    19.16068,	38.25003
1.6525, 	1.3825, 	44.5515,	0.42998,    19.15630,	38.26453
1.6550, 	1.3850, 	44.5087,	0.43033,    19.15348,	38.27898
1.6575, 	1.3875, 	44.4661,	0.43069,    19.15127,	38.29341
1.6600, 	1.3900, 	44.4234,	0.43105,    19.14862,	38.30781
1.6625, 	1.3925, 	44.3762,	0.43140,    19.14380,	38.32217
1.6650, 	1.3950, 	44.3338,	0.43173,    19.14036,	38.33651
1.6675, 	1.3975, 	44.2914,	0.43208,    19.13735,	38.35081
1.6700, 	1.4000, 	44.2491,	0.43243,    19.13474,	38.36508
1.6725, 	1.4025, 	44.2023,	0.43278,    19.12993,	38.37932
1.6750, 	1.4050, 	44.1602,	0.43311,    19.12628,	38.39353
1.6775, 	1.4075, 	44.1181,	0.43346,    19.12323,	38.40771
1.6800, 	1.4100, 	44.0715,	0.43379,    19.11778,	38.42186
1.6825, 	1.4125, 	44.0250,	0.43413,    19.11249,	38.43597
1.6850, 	1.4150, 	43.9832,	0.43447,    19.10927,	38.45006
1.6875, 	1.4175, 	43.9415,	0.43480,    19.10598,	38.46411
1.6900, 	1.4200, 	43.8953,	0.43513,    19.10012,	38.47813
1.6925, 	1.4225, 	43.8491,	0.43546,    19.09469,	38.49212
1.6950, 	1.4250, 	43.8077,	0.43579,    19.09106,	38.50608
1.6975, 	1.4275, 	43.7663,	0.43612,    19.08722,	38.52001
1.7000, 	1.4300, 	43.7250,	0.43645,    19.08366,	38.53391
1.7025, 	1.4325, 	43.6792,	0.43677,    19.07782,	38.54779
1.7050, 	1.4350, 	43.6381,	0.43709,    19.07398,	38.56162
1.7075, 	1.4375, 	43.5970,	0.43742,    19.07036,	38.57544
1.7100, 	1.4400, 	43.5560,	0.43775,    19.06652,	38.58922
1.7125, 	1.4425, 	43.5106,	0.43806,    19.06005,	38.60297
1.7150, 	1.4450, 	43.4697,	0.43838,    19.05621,	38.61669
1.7175, 	1.4475, 	43.4290,	0.43870,    19.05238,	38.63039
1.7200, 	1.4500, 	43.3883,	0.43902,    19.04848,	38.64405
1.7225, 	1.4525, 	43.3432,	0.43933,    19.04202,	38.65769
1.7250, 	1.4550, 	43.3026,	0.43964,    19.03754,	38.67129
1.7275, 	1.4575, 	43.2622,	0.43996,    19.03370,	38.68487
1.7300, 	1.4600, 	43.2218,	0.44028,    19.02965,	38.69842
1.7325, 	1.4625, 	43.1769,	0.44059,    19.02320,	38.71194
1.7350, 	1.4650, 	43.1367,	0.44090,    19.01895,	38.72543
1.7375, 	1.4675, 	43.0965,	0.44121,    19.01448,	38.73890
1.7400, 	1.4700, 	43.0564,	0.44152,    19.01022,	38.75233
1.7425, 	1.4725, 	43.0119,	0.44184,    19.00421,	38.76574
1.7450, 	1.4750, 	42.9720,	0.44214,    18.99974,	38.77912
1.7475, 	1.4775, 	42.9321,	0.44245,    18.99549,	38.79247
1.7500, 	1.4800, 	42.8922,	0.44276,    18.99102,	38.80579
1.7525, 	1.4825, 	42.8525,	0.44307,    18.98655,	38.81908
1.7550, 	1.4850, 	42.8128,	0.44338,    18.98229,	38.83235
1.7575, 	1.4875, 	42.7731,	0.44369,    18.97783,	38.84559
1.9575, 	1.6875, 	38.7393,	0.46696,    18.08988,	39.79442
2.1575, 	1.8875, 	35.2992,	0.48786,    17.22118,	40.55641
2.3575, 	2.0875, 	32.2950,	0.49118,    15.86253,	41.15356
2.5575, 	2.2875, 	29.6146,	0.50748,    15.02871,	41.64118
2.7575, 	2.4875, 	27.2013,	0.52193,    14.19710,	42.04008
2.9575, 	2.6875, 	25.0129,	0.53458,    13.37133,	42.36508
3.1575, 	2.8875, 	23.0309,	0.53005,    12.20754,	42.61822
3.3575, 	3.0875, 	21.2130,	0.53937,    11.44167,	42.82094
3.5575, 	3.2875, 	19.5385,	0.54746,    10.69648,	42.98147
3.7575, 	3.4875, 	17.9905,	0.55445,    9.97489,	43.10638
3.9575, 	3.6875, 	16.5609,	0.56051,    9.28256,	43.20126
4.1575, 	3.8875, 	15.2415,	0.56574,    8.62272,	43.27089
4.3575, 	4.0875, 	14.0246,	0.57021,    7.99695,	43.31933
4.5575, 	4.2875, 	12.9102,	0.55907,    7.21769,	43.34639
4.7575, 	4.4875, 	11.8828,	0.56223,    6.68090,	43.35953
4.9575, 	4.6875, 	10.9359,	0.56491,    6.17776,	43.36088
5.1575, 	4.8875, 	10.0635,	0.56715,    5.70755,	43.35244
5.3575, 	5.0875, 	9.2600, 	0.56903,    5.26924,	43.33590
5.5575, 	5.2875, 	8.5200, 	0.57061,    4.86159,	43.31272
5.7575, 	5.4875, 	7.8388, 	0.57192,    4.48316,	43.28413
